Id,FieldSampleName,TopDepth,MiddleDepth,BottomDepth,SampleDate,Site,Matrix,Location,SampleType,Latitude,Longitude,ChemicalName,ResultId,DetectionLimit,CAS,AnalyticalMethod,Detected,Result,Qualifier,ConcentrationUnits,Filtration,LocationID
146,A1505289875,14,0,15,05/28/13 9:50:00,Capital Lakes,Soil,C18,Site Sample,30.4603,-91.1797,Magnesium,130,20,7439-95-4,Unknown,1,1253.7,,mg/Kg,,3529
147,A1505289876,8,0,9,05/28/13 10:05:00,Capital Lakes,Soil,C19,Site Sample,30.4608,-91.1799,Magnesium,130,20,7439-95-4,Unknown,1,1771.77,,mg/Kg,,3530
148,A1505289877,5,0,6,05/28/13 10:08:00,Capital Lakes,Soil,C19,Site Sample,30.4608,-91.1799,Magnesium,130,20,7439-95-4,Unknown,1,1500.6,,mg/Kg,,3530
149,A1505289878,6,0,7,05/28/13 10:06:00,Capital Lakes,Soil,C19,Site Sample,30.4608,-91.1799,Magnesium,130,20,7439-95-4,Unknown,1,1239.7,,mg/Kg,,3530
150,A1505289879,4,0,5,05/28/13 10:09:00,Capital Lakes,Soil,C19,Site Sample,30.4608,-91.1799,Magnesium,130,20,7439-95-4,Unknown,1,1248.36,,mg/Kg,,3530
151,A1505289880,21,0,22,05/28/13 10:12:00,Capital Lakes,Soil,C19,Site Sample,30.4608,-91.1799,Magnesium,130,20,7439-95-4,Unknown,1,1468.77,,mg/Kg,,3530
152,A1505279861,2,0,3,05/27/13 15:44:00,Capital Lakes,Soil,C16,Site Sample,30.457,-91.182,Magnesium,130,20,7439-95-4,Unknown,1,545.44,,mg/Kg,,3527
153,A1505279862,14,0,15,05/27/13 15:50:00,Capital Lakes,Soil,C16,Site Sample,30.457,-91.182,Magnesium,130,20,7439-95-4,Unknown,1,953.04,,mg/Kg,,3527
154,A1505279863,16,0,17,05/27/13 15:55:00,Capital Lakes,Soil,C16,Site Sample,30.457,-91.182,Magnesium,130,20,7439-95-4,Unknown,1,991.44,,mg/Kg,,3527
155,A1505279864,18,0,19,05/27/13 15:58:00,Capital Lakes,Soil,C16,Site Sample,30.457,-91.182,Magnesium,130,20,7439-95-4,Unknown,1,1165.64,,mg/Kg,,3527
156,A1505289881,4,0,5,05/28/13 13:40:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,1630,,mg/Kg,,3531
157,A1505289882,8,0,9,05/28/13 13:43:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,2090,,mg/Kg,,3531
158,A1505289883,2,0,3,05/28/13 13:45:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,2320,,mg/Kg,,3531
159,A1505289884,17,0,18,05/28/13 13:46:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,2160,,mg/Kg,,3531
160,A1505289885,21,0,22,05/28/13 13:51:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,2730,,mg/Kg,,3531
161,A1505289887,26,0,27,05/28/13 13:57:00,Capital Lakes,Soil,C20,Site Sample,30.4611,-91.1793,Magnesium,130,20,7439-95-4,Unknown,1,2190,,mg/Kg,,3531
