time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-23T22:58:13.830Z,38.3242,73.009,66.68,4.1,mb,,64,1.329,0.74,us,us20008u5h,2017-03-23T23:24:21.040Z,"85km WNW of Murghob, Tajikistan",earthquake,3.2,16.1,0.198,7,reviewed,us,us
2017-03-23T20:37:59.430Z,40.418335,-124.9933319,0.23,3.16,ml,36,287,0.5789,0.39,nc,nc72779821,2017-03-24T06:04:08.055Z,"64km WSW of Ferndale, California",earthquake,7.38,12.62,0.157,7,automatic,nc,nc
2017-03-23T20:27:29.120Z,19.2835,-155.1768333,8.342,4.49,ml,64,150,0.04516,0.12,hv,hv61658206,2017-03-24T19:34:07.288Z,"15km SSE of Volcano, Hawaii",earthquake,0.3,0.22,0.181,39,reviewed,hv,hv
2017-03-23T19:32:27.000Z,-23.503,-69.118,105.3,4.1,mb,,,,0.88,us,us20008u42,2017-03-23T21:50:09.040Z,"112km SW of San Pedro de Atacama, Chile",earthquake,6.9,7.3,0.302,3,reviewed,guc,us
2017-03-23T17:41:35.430Z,36.9291649,-120.6756668,-0.3,2.55,md,36,84,0.3407,0.35,nc,nc72779761,2017-03-24T10:13:10.414Z,"4km SSW of South Dos Palos, California",earthquake,0.54,7.84,0.17,27,automatic,nc,nc
2017-03-23T17:28:47.030Z,35.8952,-98.2769,5,2.7,mb_lg,,76,0.129,0.26,us,us20008u3d,2017-03-24T01:07:35.648Z,"13km ENE of Watonga, Oklahoma",earthquake,1.2,1.7,0.128,16,reviewed,us,us
2017-03-23T17:00:30.610Z,-7.1236,155.4991,10.93,4.9,mb,,91,4.416,0.92,us,us20008u36,2017-03-23T17:59:29.040Z,"89km S of Panguna, Papua New Guinea",earthquake,8.4,5.7,0.072,61,reviewed,us,us
2017-03-23T16:29:54.660Z,36.0704,139.9243,60.88,4.3,mb,,148,1.468,0.67,us,us20008u2t,2017-03-24T14:24:26.374Z,"3km NE of Iwai, Japan",earthquake,7,3.6,0.122,19,reviewed,us,us
2017-03-23T14:35:36.170Z,-7.8881,107.9963,72.45,4.7,mb,,129,2.503,1.07,us,us20008u18,2017-03-23T15:49:14.727Z,"15km SSW of Sindangkerta, Indonesia",earthquake,9.2,6.2,0.088,39,reviewed,us,us
2017-03-23T12:58:08.500Z,18.7735,-64.2194,70,3.6,Md,13,334.8,1.10941938,0.46,pr,pr17082000,2017-03-23T13:15:25.588Z,"57km NE of Road Town, British Virgin Islands",earthquake,6.6,7.7,0,11,reviewed,pr,pr
2017-03-23T12:24:58.710Z,60.1763,-141.1124,0,2.7,ml,,,,0.69,ak,ak15606318,2017-03-23T12:39:32.130Z,"74km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-23T08:33:03.100Z,-20.8303,-69.0739,101.96,4,mb,,96,0.44,0.46,us,us20008tzf,2017-03-24T05:10:49.040Z,"130km ESE of Iquique, Chile",earthquake,6.8,10,0.232,5,reviewed,us,us
2017-03-23T07:51:50.970Z,-40.9817,174.8887,62.97,4.4,mwr,,66,0.355,0.94,us,us20008tza,2017-03-23T16:09:55.540Z,"12km SW of Paraparaumu, New Zealand",earthquake,5,3.6,0.052,36,reviewed,us,us
2017-03-23T06:56:13.800Z,36.4543,-98.7887,4.703,2.5,ml,,51,,0.3,us,us20008tz4,2017-03-24T05:01:35.040Z,"34km NW of Fairview, Oklahoma",earthquake,0.9,2.3,,,reviewed,tul,tul
2017-03-23T06:32:10.000Z,36.4134,-96.8313,5.587,2.6,ml,,40,,0.16,us,us20008tz0,2017-03-24T05:02:53.040Z,"8km NNW of Pawnee, Oklahoma",earthquake,0.8,2.2,,,reviewed,tul,tul
